,"ponsse riski"
,
"17 year",5.825364572451
"15 year",6.28566453162454
"10 year",6.71647124040881
"7 year",6.75778314579355
"5 year",6.37049593943115
"3 year",7.08749280308082
"2 year",6.9416942849508
"1 year",7.04297565629205
